"","dataset","rep_bin_model","val_acc","sd_val_acc[, c(3)]","means_val_auc[, c(3)]","sd_val_auc[, c(3)]"
"1","CRC","Fill_High_Density_SPB_CNN",0.63762,0.0517201614657265,0.74504,0.0601402985543311
"2","Feng","Fill_High_Density_SPB_CNN",0.71148,0.125567973298797,0.75652,0.163356532574286
"3","Vogtmann","Fill_High_Density_SPB_CNN",0.64956,0.148208644987327,0.69706,0.176277426292785
"4","Yu","Fill_High_Density_SPB_CNN",0.67214,0.119528667895947,0.73666,0.132570906710796
"5","Zeller","Fill_High_Density_SPB_CNN",0.73918,0.101727665652878,0.80224,0.0978905177705571
"6","CRC","Fill_phylogenetic_SPB_CNN",0.66498,0.0598792969571423,0.7655,0.0643403735882019
"7","Feng","Fill_phylogenetic_SPB_CNN",0.71348,0.150198404839487,0.74968,0.163076223570076
"8","Vogtmann","Fill_phylogenetic_SPB_CNN",0.60042,0.145742866944856,0.66428,0.179837686454724
"9","Yu","Fill_phylogenetic_SPB_CNN",0.71484,0.107234886190673,0.79446,0.127977869579239
"10","Zeller","Fill_phylogenetic_SPB_CNN",0.73908,0.101423710145073,0.79456,0.108779154665753
"11","CRC","Raw_Gradient_Boosting_Tree",0.70934,0.0551456735032083,0.76768,0.0595888771979661
"12","Feng","Raw_Gradient_Boosting_Tree",0.71612,0.1298570077007,0.7683,0.149608093473091
"13","Vogtmann","Raw_Gradient_Boosting_Tree",0.61534,0.135636911778228,0.66934,0.152008406051126
"14","Yu","Raw_Gradient_Boosting_Tree",0.66306,0.0987134401452311,0.70378,0.0982074626201375
"15","Zeller","Raw_Gradient_Boosting_Tree",0.72422,0.0993672409369837,0.7864,0.104330323140162
"16","CRC","Raw_Random_Forest",0.69682,0.0627400500282796,0.75466,0.064791222005605
"17","Feng","Raw_Random_Forest",0.71634,0.145444934527098,0.77138,0.142176505708609
"18","Vogtmann","Raw_Random_Forest",0.62798,0.154192894036751,0.67026,0.187566457338105
"19","Yu","Raw_Random_Forest",0.63454,0.124384395963415,0.69678,0.14077385106211
"20","Zeller","Raw_Random_Forest",0.74456,0.105309681319392,0.79588,0.108643705265779
"21","CRC","Raw_SVM",0.6162,0.0551861414132356,0.65046,0.0635941243595761
"22","Feng","Raw_SVM",0.6613,0.104611672583973,0.6803,0.184820624566919
"23","Vogtmann","Raw_SVM",0.49046,0.107033317338146,0.50902,0.223801888522243
"24","Yu","Raw_SVM",0.5534,0.0659947431425335,0.50754,0.170562001414531
"25","Zeller","Raw_SVM",0.67112,0.105761888896034,0.75254,0.134762559143624
"26","CRC","Spectral_Embedding_SPB_CNN",0.69826,0.0636174183566682,0.79004,0.0604560761450588
"27","Feng","Spectral_Embedding_SPB_CNN",0.74146,0.118545988665038,0.77794,0.18746737512083
"28","Vogtmann","Spectral_Embedding_SPB_CNN",0.62726,0.13791491165622,0.60768,0.230965448427567
"29","Yu","Spectral_Embedding_SPB_CNN",0.70456,0.119601747308238,0.73736,0.182012307276184
"30","Zeller","Spectral_Embedding_SPB_CNN",0.75708,0.0949024934620062,0.82354,0.115410042713724
"31","CRC","t-SNE_SPB_CNN",0.65982,0.0682398800152066,0.7648,0.0681142497602973
"32","Feng","t-SNE_SPB_CNN",0.70654,0.119978775333857,0.74226,0.200593793014436
"33","Vogtmann","t-SNE_SPB_CNN",0.60006,0.174880531815761,0.6664,0.19285640211498
"34","Yu","t-SNE_SPB_CNN",0.6726,0.163452545694087,0.72744,0.192361496423069
"35","Zeller","t-SNE_SPB_CNN",0.74798,0.0841743792519374,0.80308,0.103519462825468
